modelo,R2,DW,BP_p,SW_p,phi
$N_C = N_P$,0.961706810894745,1.961347028020086,0.08832689704752762,0.7852821507110271,0.0
"$N_C = 0.5\,N_P$",0.9745666250169597,0.719752763917342,0.03248927075473495,0.3480395335492007,0.0
