modelo,n_runs,tau_mediana,tau_lo,tau_hi
$N_C = N_P$,100,0.3645903527646415,0.3567724065742351,0.36593231096173806
"$N_C = 0.5\,N_P$",100,0.8943257581672353,0.8792817613486378,0.9094363340800102
