run,steps,seed
7,1,554607101
3,1,554607097
10,1,554607104
2,1,554607096
6,2,554607100
11,2,554607105
14,1,554607108
5,3,554607099
4,3,554607098
8,3,554607102
13,2,554607107
16,2,554607110
12,4,554607106
21,1,554607115
23,1,554607117
20,2,554607114
9,6,554607103
25,3,554607119
15,6,554607109
27,3,554607121
17,6,554607111
24,4,554607118
28,3,554607122
32,1,554607126
35,1,554607129
22,7,554607116
30,3,554607124
34,2,554607128
38,1,554607132
33,3,554607127
29,5,554607123
41,1,554607135
37,3,554607131
42,2,554607136
45,1,554607139
39,4,554607133
46,1,554607140
19,13,554607113
18,14,554607112
44,4,554607138
48,2,554607142
36,7,554607130
40,6,554607134
49,3,554607143
43,6,554607137
55,1,554607149
51,3,554607145
53,3,554607147
57,2,554607151
50,4,554607144
1,20,554607095
58,3,554607152
54,5,554607148
56,4,554607150
62,2,554607156
65,1,554607159
63,3,554607157
47,8,554607141
66,1,554607160
31,15,554607125
52,7,554607146
60,4,554607154
67,2,554607161
71,1,554607165
59,5,554607153
61,6,554607155
69,3,554607163
73,3,554607167
77,2,554607171
68,4,554607162
70,4,554607164
76,4,554607170
75,4,554607169
81,1,554607175
79,2,554607173
72,5,554607166
64,7,554607158
80,2,554607174
78,3,554607172
88,1,554607182
82,3,554607176
86,2,554607180
84,2,554607178
89,2,554607183
90,3,554607184
26,22,554607120
74,8,554607168
85,5,554607179
95,3,554607189
93,3,554607187
102,1,554607196
100,2,554607194
83,8,554607177
91,6,554607185
101,2,554607195
94,7,554607188
87,8,554607181
92,8,554607186
107,3,554607201
103,5,554607197
99,7,554607193
97,9,554607191
110,3,554607204
106,5,554607200
104,8,554607198
111,4,554607205
112,3,554607206
109,6,554607203
105,8,554607199
115,3,554607209
117,1,554607211
113,4,554607207
121,1,554607215
124,2,554607218
116,5,554607210
96,15,554607190
108,11,554607202
125,4,554607219
123,5,554607217
126,3,554607220
127,3,554607221
122,6,554607216
120,7,554607214
128,4,554607222
118,8,554607212
132,2,554607226
133,2,554607227
129,5,554607223
114,12,554607208
135,4,554607229
137,3,554607231
136,3,554607230
130,7,554607224
131,6,554607225
141,2,554607235
142,1,554607236
145,1,554607239
143,2,554607237
139,5,554607233
146,2,554607240
151,1,554607245
134,8,554607228
140,6,554607234
152,3,554607246
148,6,554607242
149,6,554607243
155,3,554607249
153,5,554607247
138,12,554607232
156,4,554607250
157,4,554607251
162,1,554607256
158,5,554607252
159,6,554607253
163,2,554607257
154,9,554607248
167,1,554607261
161,5,554607255
165,3,554607259
169,1,554607263
160,7,554607254
166,4,554607260
164,7,554607258
170,3,554607264
150,15,554607244
173,2,554607267
176,1,554607270
119,26,554607213
175,2,554607269
144,18,554607238
171,6,554607265
172,5,554607266
177,3,554607271
147,17,554607241
174,4,554607268
180,3,554607274
168,9,554607262
185,2,554607279
187,2,554607281
178,5,554607272
182,5,554607276
179,6,554607273
189,3,554607283
181,6,554607275
186,4,554607280
184,6,554607278
194,1,554607288
98,44,554607192
192,3,554607286
191,4,554607285
199,2,554607293
195,3,554607289
193,4,554607287
202,1,554607296
183,10,554607277
203,1,554607297
200,4,554607294
196,5,554607290
207,1,554607301
205,2,554607299
208,1,554607302
198,5,554607292
206,2,554607300
210,3,554607304
197,8,554607291
211,3,554607305
201,6,554607295
217,1,554607311
216,2,554607310
212,6,554607306
220,2,554607314
221,2,554607315
204,8,554607298
218,4,554607312
214,7,554607308
222,1,554607316
225,1,554607319
227,2,554607321
219,6,554607313
213,8,554607307
215,9,554607309
223,4,554607317
228,3,554607322
233,2,554607327
232,2,554607326
235,1,554607329
230,3,554607324
226,6,554607320
231,4,554607325
240,1,554607334
234,4,554607328
242,1,554607336
244,1,554607338
238,5,554607332
245,1,554607339
237,6,554607331
229,10,554607323
246,2,554607340
243,5,554607337
239,8,554607333
188,33,554607282
248,3,554607342
249,3,554607343
236,9,554607330
209,21,554607303
224,16,554607318
254,3,554607348
255,2,554607349
256,2,554607350
241,10,554607335
250,6,554607344
258,2,554607352
260,1,554607354
261,1,554607355
247,9,554607341
253,6,554607347
262,2,554607356
251,7,554607345
266,2,554607360
263,4,554607357
257,7,554607351
259,5,554607353
252,10,554607346
272,1,554607366
274,1,554607368
269,4,554607363
265,6,554607359
270,5,554607364
271,5,554607365
276,2,554607370
280,1,554607374
268,7,554607362
281,1,554607375
264,8,554607358
273,5,554607367
277,4,554607371
283,1,554607377
279,4,554607373
275,6,554607369
288,1,554607382
284,3,554607378
291,1,554607385
292,1,554607386
285,4,554607379
278,7,554607372
282,5,554607376
295,1,554607389
293,2,554607387
290,3,554607384
294,2,554607388
297,3,554607391
301,3,554607395
289,8,554607383
302,4,554607396
287,10,554607381
304,2,554607398
305,1,554607399
298,5,554607392
303,3,554607397
286,10,554607380
310,1,554607404
300,7,554607394
309,2,554607403
311,2,554607405
306,3,554607400
307,3,554607401
267,18,554607361
296,9,554607390
316,1,554607410
317,2,554607411
308,5,554607402
299,10,554607393
313,4,554607407
312,5,554607406
315,2,554607409
320,1,554607414
319,3,554607413
318,4,554607412
328,1,554607422
325,2,554607419
321,4,554607415
324,3,554607418
326,3,554607420
323,4,554607417
329,3,554607423
314,8,554607408
322,5,554607416
335,1,554607429
333,2,554607427
339,1,554607433
327,5,554607421
330,4,554607424
334,3,554607428
341,1,554607435
343,1,554607437
331,5,554607425
340,3,554607434
332,5,554607426
337,5,554607431
346,2,554607440
348,2,554607442
342,4,554607436
336,6,554607430
352,1,554607446
344,5,554607438
349,4,554607443
345,6,554607439
351,4,554607445
338,10,554607432
354,4,554607448
347,7,554607441
355,4,554607449
361,1,554607455
353,6,554607447
357,5,554607451
358,5,554607452
365,2,554607459
369,1,554607463
356,8,554607450
364,4,554607458
360,6,554607454
363,5,554607457
366,4,554607460
362,7,554607456
370,3,554607464
367,6,554607461
350,14,554607444
376,1,554607470
372,4,554607466
378,1,554607472
375,3,554607469
380,1,554607474
371,6,554607465
373,6,554607467
381,3,554607475
382,3,554607476
385,1,554607479
384,3,554607478
377,5,554607471
368,10,554607462
389,3,554607483
379,7,554607473
359,14,554607453
387,4,554607481
388,4,554607482
386,5,554607480
