run,steps,seed
1,1,554907095
3,1,554907097
4,1,554907098
5,2,554907099
10,2,554907104
12,2,554907106
15,1,554907109
14,1,554907108
8,3,554907102
16,1,554907110
17,1,554907111
7,5,554907101
19,2,554907113
11,5,554907105
18,3,554907112
2,5,554907096
13,5,554907107
6,6,554907100
27,1,554907121
23,4,554907117
22,5,554907116
20,6,554907114
29,3,554907123
30,3,554907124
33,1,554907127
31,3,554907125
36,1,554907130
32,3,554907126
21,8,554907115
26,6,554907120
24,7,554907118
34,4,554907128
43,1,554907137
38,3,554907132
9,14,554907103
35,5,554907129
40,3,554907134
25,9,554907119
45,1,554907139
42,3,554907136
37,6,554907131
51,1,554907145
46,2,554907140
47,3,554907141
50,3,554907144
44,5,554907138
52,3,554907146
41,7,554907135
39,8,554907133
54,3,554907148
59,1,554907153
48,6,554907142
56,3,554907150
55,4,554907149
53,6,554907147
49,6,554907143
63,1,554907157
57,4,554907151
65,2,554907159
28,15,554907122
69,2,554907163
66,3,554907160
61,6,554907155
72,2,554907166
70,4,554907164
75,1,554907169
78,1,554907172
60,9,554907154
71,5,554907165
74,4,554907168
67,7,554907161
80,1,554907174
82,1,554907176
64,9,554907158
76,5,554907170
68,8,554907162
77,5,554907171
83,2,554907177
86,1,554907180
73,8,554907167
85,3,554907179
88,2,554907182
89,3,554907183
92,1,554907186
62,7,554907156
79,7,554907173
84,6,554907178
90,5,554907184
81,9,554907175
93,5,554907187
95,5,554907189
94,6,554907188
100,3,554907194
98,4,554907192
102,2,554907196
99,5,554907193
91,6,554907185
58,24,554907152
87,10,554907181
106,3,554907200
108,2,554907202
109,2,554907203
96,9,554907190
107,4,554907201
114,1,554907208
103,6,554907197
105,6,554907199
116,1,554907210
97,7,554907191
112,3,554907206
118,1,554907212
101,9,554907195
119,1,554907213
115,3,554907209
122,1,554907216
110,7,554907204
123,2,554907217
104,9,554907198
120,3,554907214
113,7,554907207
124,3,554907218
117,5,554907211
127,3,554907221
128,4,554907222
125,6,554907219
132,3,554907226
129,4,554907223
126,6,554907220
130,5,554907224
135,3,554907229
134,4,554907228
121,8,554907215
133,5,554907227
140,1,554907234
131,5,554907225
136,3,554907230
146,2,554907240
147,2,554907241
142,4,554907236
137,5,554907231
139,5,554907233
150,1,554907244
141,5,554907235
145,5,554907239
148,4,554907242
138,7,554907232
152,2,554907246
155,1,554907249
151,3,554907245
149,4,554907243
158,1,554907252
153,3,554907247
143,7,554907237
111,17,554907205
