scenario,phi,num_obs,tau_mean,tau_std
Nc=Np,0.0999755859375,1638,0.6723323475369463,0.028050372267816256
Nc=Np,0.199951171875,3276,0.7983964795673583,0.03394521290646459
Nc=Np,0.29998779296875,4915,0.9935111152886114,0.03837888830623485
Nc=Np,0.39996337890625,6553,1.231372742534877,0.05948723385338963
Nc=Np,0.5,8192,1.4266001674125337,0.0863156076657179
Nc=Np,0.5999755859375,9830,1.3925317808351436,0.09779506149699173
Nc=Np,0.699951171875,11468,1.097155854458978,0.11387780562553064
Nc=Np,0.79998779296875,13107,0.7961480721761393,0.13231513471821674
Nc=Np,0.89996337890625,14745,0.5670945963721594,0.21899678905872685
Nc=Np*0.5,0.0999755859375,1638,2.3005328340741915,0.07273608535548003
Nc=Np*0.5,0.199951171875,3276,2.7132829371458302,0.0825618966594278
Nc=Np*0.5,0.29998779296875,4915,3.321261885072892,0.11722660096251283
Nc=Np*0.5,0.39996337890625,6553,4.026046422570025,0.1872133272239726
Nc=Np*0.5,0.5,8192,4.223321386066008,0.249991598321239
Nc=Np*0.5,0.5999755859375,9830,3.211328155957592,0.27430402453216923
Nc=Np*0.5,0.699951171875,11468,1.9129458463463167,0.21355453156686888
Nc=Np*0.5,0.79998779296875,13107,1.0624821780253844,0.2067675173557526
Nc=Np*0.5,0.89996337890625,14745,0.6427472566662163,0.28851991602952176
Nc=Np*0.8,0.0999755859375,1638,1.0007879181615404,0.032639896109721754
Nc=Np*0.8,0.199951171875,3276,1.195124254417185,0.03918487662590313
Nc=Np*0.8,0.29998779296875,4915,1.4819124831620798,0.056559906645531656
Nc=Np*0.8,0.39996337890625,6553,1.830958645049607,0.09403147675381608
Nc=Np*0.8,0.5,8192,2.0536671115465306,0.12260792724646401
Nc=Np*0.8,0.5999755859375,9830,1.8339724696071718,0.12547720262175938
Nc=Np*0.8,0.699951171875,11468,1.349207035846813,0.14405060513977308
Nc=Np*0.8,0.79998779296875,13107,0.8427549154010121,0.17202142310429447
Nc=Np*0.8,0.89996337890625,14745,0.5595405843521157,0.22561467053814968
