phi,num_obs,giant_frac_mean,giant_frac_std,n_comp_mean,n_comp_std,mean_size_no_giant_mean,mean_size_no_giant_std,S_susc_mean,S_susc_std
0.0,0,1.0,0.0,1.0,0.0,nan,0.0,nan,0.0
0.0999755859375,1638,0.9998338532483386,0.00014145581856694688,3.16,1.6312602799707043,1.1253012048192772,0.3476826248567175,1.2276247848537007,0.7663529721380674
0.199951171875,3276,0.9974031126029905,0.0006548232426867928,28.54,5.099851453570472,1.2312289169337038,0.1736593455719735,1.7427986637721233,0.9509406799468844
0.29998779296875,4915,0.9772037666753858,0.005978713088915615,133.14,12.820453985878986,1.9776882402150304,0.47075164218337723,10.519671200270936,26.47249890351758
0.39996337890625,6553,0.5726151968263655,0.13898399572751177,457.62,19.929055991874595,9.191695736725878,2.9328604288991835,446.67018830839936,414.6223551762886
0.5,8192,0.03170166015625,0.009715225714640301,1126.91,30.79816831756674,7.049966925558697,0.18794913415332296,45.485837967587685,5.400717316943212
0.5999755859375,9830,0.009783338419285933,0.0022549116017492018,1775.65,34.23282582020309,3.658304591058725,0.06924668358309803,11.168427778371319,0.6670320189266412
0.699951171875,11468,0.005565500406834825,0.0012175970059574914,2121.47,32.32894534423768,2.3059775248547023,0.03498501231084179,4.7687662291321065,0.1729856816968587
0.79998779296875,13107,0.0040097650289899305,0.0008331935732600565,2004.64,25.98893315364535,1.6292330260955468,0.020906060600646894,2.5315615563900375,0.06367790944045987
0.89996337890625,14745,0.0037339841366687003,0.0007060081213193677,1316.21,16.973714080806527,1.241737323797562,0.015817230221355203,1.5217235742829116,0.03914632231889046
