scenario,phi,num_obs,n_runs_validos,d_mean,d_std,frac_reach,modo,periodic
Nc=Np,0.0,0,100,1.3490283203125,0.009347348261713748,1.0,por_presa,True
Nc=Np,0.0999755859375,1638,100,1.422935828514632,0.011052982887421146,0.9999348887683125,por_presa,True
Nc=Np,0.199951171875,3276,100,1.519595978850954,0.014124279790191815,0.9980866646322857,por_presa,True
Nc=Np,0.29998779296875,4915,100,1.6597276316868446,0.022368885307927435,0.9882002092779909,por_presa,True
Nc=Np,0.39996337890625,6553,100,1.8302237066490017,0.03037129420434066,0.9535531135531136,por_presa,True
Nc=Np,0.5,8192,100,1.9659578763157972,0.04876972120555992,0.862529296875,por_presa,True
Nc=Np,0.5999755859375,9830,100,1.937158736853471,0.05554822388449043,0.6957570207570207,por_presa,True
Nc=Np,0.699951171875,11468,100,1.7411996956580844,0.06237358437950353,0.4842880390561432,por_presa,True
Nc=Np,0.79998779296875,13107,100,1.4902430166379843,0.06356748120638851,0.28117216117216115,por_presa,True
Nc=Np,0.89996337890625,14745,100,1.2454563540619212,0.08321456317386777,0.12166259168704156,por_presa,True
Nc=Np*0.5,0.0,0,100,1.8328466796875,0.01665081874606965,1.0,por_presa,True
Nc=Np*0.5,0.0999755859375,1638,100,1.9620660650712904,0.02163283840868714,0.9998941942485079,por_presa,True
Nc=Np*0.5,0.199951171875,3276,100,2.1483759693113043,0.024638124778922736,0.9980927677754043,por_presa,True
Nc=Np*0.5,0.29998779296875,4915,100,2.43450524243648,0.0383258246270457,0.9868189745378444,por_presa,True
Nc=Np*0.5,0.39996337890625,6553,100,2.7951981403109927,0.06214117361653619,0.9367358567358567,por_presa,True
Nc=Np*0.5,0.5,8192,100,3.0004644084120975,0.08807950772625288,0.790927734375,por_presa,True
Nc=Np*0.5,0.5999755859375,9830,100,2.724806659678345,0.11524354180039083,0.5487423687423687,por_presa,True
Nc=Np*0.5,0.699951171875,11468,100,2.1808595300713107,0.09577534220845588,0.32656631407648495,por_presa,True
Nc=Np*0.5,0.79998779296875,13107,100,1.6643954643957608,0.09782705345750603,0.1671794871794872,por_presa,True
Nc=Np*0.5,0.89996337890625,14745,100,1.2873440621714203,0.10839268160596244,0.06246943765281174,por_presa,True
Nc=Np*0.8,0.0,0,100,1.48466552734375,0.010463418659808467,1.0,por_presa,True
Nc=Np*0.8,0.0999755859375,1638,100,1.5713531909322842,0.012529453150134857,0.9998914812805209,por_presa,True
Nc=Np*0.8,0.199951171875,3276,100,1.6944653447942692,0.016975308378058655,0.9979493439121148,por_presa,True
Nc=Np*0.8,0.29998779296875,4915,100,1.8707299658730991,0.025475451513550493,0.9882420648761772,por_presa,True
Nc=Np*0.8,0.39996337890625,6553,100,2.0946040199776808,0.04019553370623721,0.949023199023199,por_presa,True
Nc=Np*0.8,0.5,8192,100,2.259776053950799,0.058074132455753526,0.84078125,por_presa,True
Nc=Np*0.8,0.5999755859375,9830,100,2.169709959368197,0.057335022239476924,0.6502564102564102,por_presa,True
Nc=Np*0.8,0.699951171875,11468,100,1.8887159665225213,0.06628896392080103,0.43209113100081364,por_presa,True
Nc=Np*0.8,0.79998779296875,13107,100,1.547003074591951,0.06994480566902192,0.23957264957264957,por_presa,True
Nc=Np*0.8,0.89996337890625,14745,100,1.2416072381608805,0.0962591489449685,0.09691931540342298,por_presa,True
