tau1,tau2,msd_ratio,msd_tau1,msd_tau2,n1,n2
1,5,0.2007425915122964,2.358681640625,7.973251953125,204800,204800
1,10,0.14516881646023816,2.358681640625,14.149794921875,204800,204800
2,20,0.1073179436888542,3.733310546875,23.910185546875,204800,204800
5,13,0.1253465669600768,7.973251953125,17.2852978515625,204800,204800
10,27,0.09730432994533139,14.149794921875,30.255634765625,204800,204800
