phi,num_obs,n_runs_validos,d_mean,d_std,frac_reach,modo,periodic
0.0,0,100,1.48466552734375,0.010463418659808467,1.0,por_presa,True
0.0999755859375,1638,100,1.5713531909322842,0.012529453150134857,0.9998914812805209,por_presa,True
0.199951171875,3276,100,1.6944653447942692,0.016975308378058655,0.9979493439121148,por_presa,True
0.29998779296875,4915,100,1.8707299658730991,0.025475451513550493,0.9882420648761772,por_presa,True
0.39996337890625,6553,100,2.0946040199776808,0.04019553370623721,0.949023199023199,por_presa,True
0.5,8192,100,2.259776053950799,0.058074132455753526,0.84078125,por_presa,True
0.5999755859375,9830,100,2.169709959368197,0.057335022239476924,0.6502564102564102,por_presa,True
0.699951171875,11468,100,1.8887159665225213,0.06628896392080103,0.43209113100081364,por_presa,True
0.79998779296875,13107,100,1.547003074591951,0.06994480566902192,0.23957264957264957,por_presa,True
0.89996337890625,14745,100,1.2416072381608805,0.0962591489449685,0.09691931540342298,por_presa,True
