phi,num_obs,n_runs,beta_mean,beta_std
0.0,0,100,0.773839406174381,0.020067921676247994
0.0999755859375,1638,100,0.748521890992611,0.018424648458573622
0.199951171875,3276,100,0.7184638678030733,0.01908519528509925
0.29998779296875,4915,100,0.6839590902778062,0.015189802507456657
0.39996337890625,6553,100,0.6548379117739523,0.01808021450156884
0.5,8192,100,0.632255763086709,0.023144380804420158
0.5999755859375,9830,100,0.6229304099387213,0.02524781571930968
0.699951171875,11468,100,0.6245913972122776,0.04461917433417766
0.79998779296875,13107,100,0.635715311881372,0.060942417285484
0.89996337890625,14745,100,0.7672102557971253,0.575708931255182
