scenario,phi,num_obs,tau_run
Nc=Np,0.0,0,0.5536710213693494
Nc=Np,0.0,0,0.6050281506272467
Nc=Np,0.0,0,0.5640754342893588
Nc=Np,0.0,0,0.6071702800923864
Nc=Np,0.0,0,0.5767594988190402
Nc=Np,0.0,0,0.5648522117127397
Nc=Np,0.0,0,0.5948370421479008
Nc=Np,0.0,0,0.5912340983820743
Nc=Np,0.0,0,0.5763793308180887
Nc=Np,0.0,0,0.6022036033660596
Nc=Np,0.0,0,0.5753567714175831
Nc=Np,0.0,0,0.5959518291960162
Nc=Np,0.0,0,0.5844386554925017
Nc=Np,0.0,0,0.565851310191672
Nc=Np,0.0,0,0.5620463157791287
Nc=Np,0.0,0,0.536675007949481
Nc=Np,0.0,0,0.6150037849637817
Nc=Np,0.0,0,0.5842150952993843
Nc=Np,0.0,0,0.5652422567588713
Nc=Np,0.0,0,0.5661397980970599
Nc=Np,0.0,0,0.5746733440947732
Nc=Np,0.0,0,0.5857539968747644
Nc=Np,0.0,0,0.5859087480279145
Nc=Np,0.0,0,0.54783131775104
Nc=Np,0.0,0,0.5702072644610935
Nc=Np,0.0,0,0.5809458100536216
Nc=Np,0.0,0,0.6107887909558436
Nc=Np,0.0,0,0.5684663528005567
Nc=Np,0.0,0,0.5364248186181376
Nc=Np,0.0,0,0.541822355368425
Nc=Np,0.0,0,0.5807839306954223
Nc=Np,0.0,0,0.564564473800493
Nc=Np,0.0,0,0.5792459007568076
Nc=Np,0.0,0,0.5944313021105986
Nc=Np,0.0,0,0.565797957974721
Nc=Np,0.0,0,0.5894197708495463
Nc=Np,0.0,0,0.5498582288185538
Nc=Np,0.0,0,0.6009957042588958
Nc=Np,0.0,0,0.5617503845669838
Nc=Np,0.0,0,0.5829123824472523
Nc=Np,0.0,0,0.6178674389496631
Nc=Np,0.0,0,0.5662383945698521
Nc=Np,0.0,0,0.5374567735058727
Nc=Np,0.0,0,0.6067271712348825
Nc=Np,0.0,0,0.5847796183052332
Nc=Np,0.0,0,0.5833834828423693
Nc=Np,0.0,0,0.562577206046322
Nc=Np,0.0,0,0.5616424253298727
Nc=Np,0.0,0,0.5750702710700036
Nc=Np,0.0,0,0.5988992624055579
Nc=Np,0.0,0,0.5999059080865546
Nc=Np,0.0,0,0.5386445195179822
Nc=Np,0.0,0,0.6172188357303203
Nc=Np,0.0,0,0.6023038943704462
Nc=Np,0.0,0,0.5874584431648082
Nc=Np,0.0,0,0.5636343509663959
Nc=Np,0.0,0,0.6082822432894386
Nc=Np,0.0,0,0.5784563265753032
Nc=Np,0.0,0,0.5889026427161542
Nc=Np,0.0,0,0.5258205813287609
Nc=Np,0.0,0,0.5932433535626704
Nc=Np,0.0,0,0.5837122586452814
Nc=Np,0.0,0,0.598743162754367
Nc=Np,0.0,0,0.597181909739255
Nc=Np,0.0,0,0.597033444697769
Nc=Np,0.0,0,0.5836332166048542
Nc=Np,0.0,0,0.6173623593368759
Nc=Np,0.0,0,0.5904932401005929
Nc=Np,0.0,0,0.5986086397789636
Nc=Np,0.0,0,0.576902805264685
Nc=Np,0.0,0,0.6151188948936462
Nc=Np,0.0,0,0.5712939012733825
Nc=Np,0.0,0,0.6071457869783254
Nc=Np,0.0,0,0.5348697135694644
Nc=Np,0.0,0,0.5698445574869228
Nc=Np,0.0,0,0.5847586282962546
Nc=Np,0.0,0,0.5774380114567748
Nc=Np,0.0,0,0.5566680832636767
Nc=Np,0.0,0,0.5812934265673642
Nc=Np,0.0,0,0.5371645754322624
Nc=Np,0.0,0,0.5464234278381589
Nc=Np,0.0,0,0.5559245587318764
Nc=Np,0.0,0,0.5843902878956372
Nc=Np,0.0,0,0.6109935808274758
Nc=Np,0.0,0,0.554457658043628
Nc=Np,0.0,0,0.5988333797079672
Nc=Np,0.0,0,0.5714789653780674
Nc=Np,0.0,0,0.5741383570787756
Nc=Np,0.0,0,0.5913613106626485
Nc=Np,0.0,0,0.5894012361852369
Nc=Np,0.0,0,0.5740977121663847
