phi,num_obs,giant_frac_mean,giant_frac_std,n_comp_mean,n_comp_std,mean_size_no_giant_mean,mean_size_no_giant_std,S_susc_mean,S_susc_std
0.0,0,1.0,0.0,1.0,0.0,nan,0.0,nan,0.0
0.0999755859375,1638,0.999879289298793,9.020396782700322e-05,2.66,1.16532390260382,1.0632530120481927,0.20018215005042658,1.091566265060241,0.28664224576893294
0.199951171875,3276,0.9972673176685993,0.0007925530758034591,28.69,5.357322940696136,1.2891683777891985,0.23131438065574186,2.1564382210207294,1.8919326878169624
0.29998779296875,4915,0.9773284506059814,0.0054078079901865046,135.07,12.469967963475328,1.9331819031554656,0.3564778160479565,8.768325347161207,17.13155056515187
0.39996337890625,6553,0.5627097955447055,0.1509968306350207,460.29,22.4163067448857,9.354192710552311,3.1846302931322326,444.2274960834548,375.0969810607234
0.5,8192,0.0315869140625,0.009142270003158835,1127.19,32.70705450115332,7.0500307219109075,0.2093966456551118,44.63227350171763,5.008185463859555
0.5999755859375,9830,0.010108330790357034,0.002190813696134465,1765.76,33.94979061538205,3.677603229638612,0.07000571952132793,11.229868330478519,0.6295702147131989
0.699951171875,11468,0.005632628152969894,0.0011487741199895242,2117.76,31.60843769206782,2.3098469307299023,0.034682966473260496,4.79872027683361,0.1624548911991197
0.79998779296875,13107,0.004110466890448582,0.00085924278167065,2002.47,29.97825979949571,1.630923668926359,0.024125263824263086,2.5513923704256154,0.08068200809760619
0.89996337890625,14745,0.004008541793776693,0.0007320253470620174,1318.09,15.141817805819962,1.2395824249198055,0.014148795684499586,1.5210691443114286,0.03484039728524919
