phi,num_obs,n_runs,tau_mean,tau_std
0.0,0,100,0.8610927010923661,0.025777915054398203
0.0999755859375,1638,100,1.0007879181680313,0.03263989620896758
0.199951171875,3276,100,1.1951242543813498,0.03918487660645
0.29998779296875,4915,100,1.4819124830365764,0.056559906644979924
0.39996337890625,6553,100,1.830958645188125,0.09403147681859252
0.5,8192,100,2.0536671116243106,0.12260792733574288
0.5999755859375,9830,100,1.8339724696660136,0.12547720281452104
0.699951171875,11468,100,1.3492070358179995,0.14405060511030163
0.79998779296875,13107,100,0.8427549159551337,0.1720214230401873
0.89996337890625,14745,100,0.5595408331330884,0.22561703954785248
