phi,num_obs,n_runs_validos,d_mean,d_std,frac_reach,modo,periodic
0.0,0,100,1.8328466796875,0.01665081874606965,1.0,por_presa,True
0.0999755859375,1638,100,1.9620660650712904,0.02163283840868714,0.9998941942485079,por_presa,True
0.199951171875,3276,100,2.1483759693113043,0.024638124778922736,0.9980927677754043,por_presa,True
0.29998779296875,4915,100,2.43450524243648,0.0383258246270457,0.9868189745378444,por_presa,True
0.39996337890625,6553,100,2.7951981403109927,0.06214117361653619,0.9367358567358567,por_presa,True
0.5,8192,100,3.0004644084120975,0.08807950772625288,0.790927734375,por_presa,True
0.5999755859375,9830,100,2.724806659678345,0.11524354180039083,0.5487423687423687,por_presa,True
0.699951171875,11468,100,2.1808595300713107,0.09577534220845588,0.32656631407648495,por_presa,True
0.79998779296875,13107,100,1.6643954643957608,0.09782705345750603,0.1671794871794872,por_presa,True
0.89996337890625,14745,100,1.2873440621714203,0.10839268160596244,0.06246943765281174,por_presa,True
