tau,msd_mean,msd_std,n_contrib
1,0.4014225383418524,0.08860923656813549,409
2,1.4311893461541096,0.14115739222101947,409
3,3.1596777725066536,0.1891994888447285,409
4,5.627283645878423,0.23306696472366742,409
5,8.864562305393566,0.2716777377766089,409
6,12.916928843664579,0.3164259825265275,409
7,17.815080820429166,0.3468569397364084,409
8,23.60908851907357,0.3902274939091783,409
9,30.332770279942565,0.43739224025858187,409
10,38.03348692871909,0.48689609957902635,409
11,46.76472863398401,0.5417470733533472,409
12,56.56348920449743,0.5918287042419185,409
13,67.48629948955524,0.6483039787839993,409
14,79.5830616680253,0.702142665696874,409
15,92.90167259390991,0.7200582474779109,409
16,107.48582165819334,0.7402563164844884,409
17,123.36411865110462,0.7619780528295549,409
18,140.55110964829822,0.794626825331102,409
19,158.98409559422714,0.8385051771516023,409
20,178.3761532192337,0.88100951107318,409
21,197.7493887530562,0.9364241781381437,409
22,211.7073145884271,1.025649435873099,409
