phi,num_obs,n_runs,beta_mean,beta_std
0.0,0,100,0.821411060582421,0.013485927779247692
0.0999755859375,1638,100,0.812599775498442,0.01472589057577661
0.199951171875,3276,100,0.7981626665641284,0.018551819834175417
0.29998779296875,4915,100,0.7630685526386225,0.016938472933116316
0.39996337890625,6553,100,0.700025126300118,0.02156987876122674
0.5,8192,100,0.6378098671560579,0.028100253571507115
0.5999755859375,9830,100,0.6100287071078075,0.04006937145984479
0.699951171875,11468,100,0.6044331508171817,0.04439660782020992
0.79998779296875,13107,100,0.6426531207487086,0.09183688016339692
0.89996337890625,14745,100,0.9749681446482018,0.834472828561011
