phi,num_obs,n_runs,tau_mean,tau_std
0.0,0,100,0.5783422486389569,0.021480852634255154
0.0999755859375,1638,100,0.6723323475726011,0.028050372264732327
0.199951171875,3276,100,0.7983964795342463,0.03394521292070127
0.29998779296875,4915,100,0.9935111153219972,0.03837888839274328
0.39996337890625,6553,100,1.2313727424680245,0.05948723374972952
0.5,8192,100,1.4266001674545656,0.08631560762847612
0.5999755859375,9830,100,1.3925317806887532,0.0977950614114134
0.699951171875,11468,100,1.0971558542831206,0.11387780578870328
0.79998779296875,13107,100,0.7961480722379499,0.13231513533954528
0.89996337890625,14745,100,0.5670901551704001,0.2189935186961029
