scenario,phi,num_obs,alpha_run
Nc=Np,0.0999755859375,1638,0.682163
Nc=Np,0.0999755859375,1638,0.688232
Nc=Np,0.0999755859375,1638,0.69621
Nc=Np,0.0999755859375,1638,0.716002
Nc=Np,0.0999755859375,1638,0.696389
Nc=Np,0.0999755859375,1638,0.684939
Nc=Np,0.0999755859375,1638,0.677556
Nc=Np,0.0999755859375,1638,0.694682
Nc=Np,0.0999755859375,1638,0.661771
Nc=Np,0.0999755859375,1638,0.698477
Nc=Np,0.0999755859375,1638,0.701626
Nc=Np,0.0999755859375,1638,0.693112
Nc=Np,0.0999755859375,1638,0.688889
Nc=Np,0.0999755859375,1638,0.676626
Nc=Np,0.0999755859375,1638,0.680339
Nc=Np,0.0999755859375,1638,0.71588
Nc=Np,0.0999755859375,1638,0.687085
Nc=Np,0.0999755859375,1638,0.675361
Nc=Np,0.0999755859375,1638,0.688448
Nc=Np,0.0999755859375,1638,0.708854
Nc=Np,0.0999755859375,1638,0.65895
Nc=Np,0.0999755859375,1638,0.656278
Nc=Np,0.0999755859375,1638,0.689609
Nc=Np,0.0999755859375,1638,0.685096
Nc=Np,0.0999755859375,1638,0.701704
Nc=Np,0.0999755859375,1638,0.704348
Nc=Np,0.0999755859375,1638,0.683832
Nc=Np,0.0999755859375,1638,0.693936
Nc=Np,0.0999755859375,1638,0.6954
Nc=Np,0.0999755859375,1638,0.706448
Nc=Np,0.0999755859375,1638,0.676811
Nc=Np,0.0999755859375,1638,0.667383
Nc=Np,0.0999755859375,1638,0.694253
Nc=Np,0.0999755859375,1638,0.684095
Nc=Np,0.0999755859375,1638,0.678684
Nc=Np,0.0999755859375,1638,0.703263
Nc=Np,0.0999755859375,1638,0.706016
Nc=Np,0.0999755859375,1638,0.702275
Nc=Np,0.0999755859375,1638,0.679019
Nc=Np,0.0999755859375,1638,0.707472
Nc=Np,0.199951171875,3276,0.694744
Nc=Np,0.199951171875,3276,0.681895
Nc=Np,0.199951171875,3276,0.647134
Nc=Np,0.199951171875,3276,0.661299
Nc=Np,0.199951171875,3276,0.672928
Nc=Np,0.199951171875,3276,0.685831
Nc=Np,0.199951171875,3276,0.674089
Nc=Np,0.199951171875,3276,0.664749
Nc=Np,0.199951171875,3276,0.668433
Nc=Np,0.199951171875,3276,0.691199
Nc=Np,0.199951171875,3276,0.660698
Nc=Np,0.199951171875,3276,0.672478
Nc=Np,0.199951171875,3276,0.665166
Nc=Np,0.199951171875,3276,0.664772
Nc=Np,0.199951171875,3276,0.666621
Nc=Np,0.199951171875,3276,0.653594
Nc=Np,0.199951171875,3276,0.669281
Nc=Np,0.199951171875,3276,0.668029
Nc=Np,0.199951171875,3276,0.670193
Nc=Np,0.199951171875,3276,0.66776
Nc=Np,0.199951171875,3276,0.69501
Nc=Np,0.199951171875,3276,0.698313
Nc=Np,0.199951171875,3276,0.661093
Nc=Np,0.199951171875,3276,0.672332
Nc=Np,0.199951171875,3276,0.66656
Nc=Np,0.199951171875,3276,0.670734
Nc=Np,0.199951171875,3276,0.653417
Nc=Np,0.199951171875,3276,0.670081
Nc=Np,0.199951171875,3276,0.657747
Nc=Np,0.199951171875,3276,0.661036
Nc=Np,0.199951171875,3276,0.647036
Nc=Np,0.199951171875,3276,0.654292
Nc=Np,0.199951171875,3276,0.653018
Nc=Np,0.199951171875,3276,0.652449
Nc=Np,0.199951171875,3276,0.688071
Nc=Np,0.199951171875,3276,0.645533
Nc=Np,0.199951171875,3276,0.649887
Nc=Np,0.199951171875,3276,0.645777
Nc=Np,0.199951171875,3276,0.674955
Nc=Np,0.199951171875,3276,0.686897
Nc=Np,0.199951171875,3276,0.656829
Nc=Np,0.199951171875,3276,0.669053
Nc=Np,0.199951171875,3276,0.675665
Nc=Np,0.199951171875,3276,0.665486
Nc=Np,0.199951171875,3276,0.658734
Nc=Np,0.199951171875,3276,0.654098
Nc=Np,0.199951171875,3276,0.658595
Nc=Np,0.199951171875,3276,0.679212
Nc=Np,0.199951171875,3276,0.663581
Nc=Np,0.199951171875,3276,0.647973
Nc=Np,0.199951171875,3276,0.645295
Nc=Np,0.199951171875,3276,0.667265
Nc=Np,0.199951171875,3276,0.678448
Nc=Np,0.199951171875,3276,0.650072
Nc=Np,0.199951171875,3276,0.687523
Nc=Np,0.199951171875,3276,0.696156
Nc=Np,0.199951171875,3276,0.668032
Nc=Np,0.199951171875,3276,0.664201
Nc=Np,0.199951171875,3276,0.644178
Nc=Np,0.199951171875,3276,0.666779
Nc=Np,0.199951171875,3276,0.691169
Nc=Np,0.199951171875,3276,0.661853
Nc=Np,0.199951171875,3276,0.653381
Nc=Np,0.199951171875,3276,0.656628
Nc=Np,0.199951171875,3276,0.693958
Nc=Np,0.199951171875,3276,0.659702
Nc=Np,0.199951171875,3276,0.671779
Nc=Np,0.199951171875,3276,0.678905
Nc=Np,0.199951171875,3276,0.664625
Nc=Np,0.199951171875,3276,0.672902
Nc=Np,0.199951171875,3276,0.670306
Nc=Np,0.199951171875,3276,0.678214
Nc=Np,0.199951171875,3276,0.658186
Nc=Np,0.199951171875,3276,0.666298
Nc=Np,0.199951171875,3276,0.667031
Nc=Np,0.199951171875,3276,0.676275
Nc=Np,0.199951171875,3276,0.654519
Nc=Np,0.199951171875,3276,0.701627
Nc=Np,0.199951171875,3276,0.659807
Nc=Np,0.199951171875,3276,0.652298
Nc=Np,0.199951171875,3276,0.659137
Nc=Np,0.199951171875,3276,0.708315
Nc=Np,0.199951171875,3276,0.665822
Nc=Np,0.199951171875,3276,0.678847
Nc=Np,0.199951171875,3276,0.667908
Nc=Np,0.199951171875,3276,0.658845
Nc=Np,0.199951171875,3276,0.677348
Nc=Np,0.199951171875,3276,0.64387
Nc=Np,0.199951171875,3276,0.656276
Nc=Np,0.199951171875,3276,0.675882
Nc=Np,0.199951171875,3276,0.652323
Nc=Np,0.199951171875,3276,0.667191
Nc=Np,0.199951171875,3276,0.658103
Nc=Np,0.199951171875,3276,0.669252
Nc=Np,0.199951171875,3276,0.688432
Nc=Np,0.199951171875,3276,0.644568
Nc=Np,0.199951171875,3276,0.701661
Nc=Np,0.199951171875,3276,0.651452
Nc=Np,0.199951171875,3276,0.647379
Nc=Np,0.199951171875,3276,0.684604
Nc=Np,0.29998779296875,4915,0.634855
