phi,num_obs,n_runs,tau_mean,tau_std
0.0,0,100,2.0002234212486765,0.05178540876602405
0.0999755859375,1638,100,2.3005328339687945,0.07273608538618981
0.199951171875,3276,100,2.713282937108908,0.08256189673153343
0.29998779296875,4915,100,3.3212618850129925,0.11722660095283481
0.39996337890625,6553,100,4.0260464227235255,0.18721332721706077
0.5,8192,100,4.2233213858704755,0.24999159831528855
0.5999755859375,9830,100,3.2113281558489772,0.27430402483021915
0.699951171875,11468,100,1.9129458465501585,0.21355453185631526
0.79998779296875,13107,100,1.0624821785806235,0.20676751733319446
0.89996337890625,14745,100,0.6427341038420752,0.28851622513228337
