phi,num_obs,n_runs_validos,d_mean,d_std,frac_reach,modo,periodic
0.0,0,100,1.3490283203125,0.009347348261713748,1.0,por_presa,True
0.0999755859375,1638,100,1.422935828514632,0.011052982887421146,0.9999348887683125,por_presa,True
0.199951171875,3276,100,1.519595978850954,0.014124279790191815,0.9980866646322857,por_presa,True
0.29998779296875,4915,100,1.6597276316868446,0.022368885307927435,0.9882002092779909,por_presa,True
0.39996337890625,6553,100,1.8302237066490017,0.03037129420434066,0.9535531135531136,por_presa,True
0.5,8192,100,1.9659578763157972,0.04876972120555992,0.862529296875,por_presa,True
0.5999755859375,9830,100,1.937158736853471,0.05554822388449043,0.6957570207570207,por_presa,True
0.699951171875,11468,100,1.7411996956580844,0.06237358437950353,0.4842880390561432,por_presa,True
0.79998779296875,13107,100,1.4902430166379843,0.06356748120638851,0.28117216117216115,por_presa,True
0.89996337890625,14745,100,1.2454563540619212,0.08321456317386777,0.12166259168704156,por_presa,True
