phi,num_obs,n_runs,beta_mean,beta_std
0.0,0,100,0.7772773695842011,0.01611002215011914
0.0999755859375,1638,100,0.760312289836815,0.016194582401230104
0.199951171875,3276,100,0.7386166842076872,0.01615543839254967
0.29998779296875,4915,100,0.7092886990094804,0.01545118499512625
0.39996337890625,6553,100,0.6731105548654474,0.021469804816321294
0.5,8192,100,0.6373395298849656,0.024465881416697092
0.5999755859375,9830,100,0.6178411835855594,0.028987529750746307
0.699951171875,11468,100,0.6161080090466201,0.03831444724395198
0.79998779296875,13107,100,0.6218595970162469,0.06571482141206902
0.89996337890625,14745,100,0.7807163827799386,0.5552130894350392
