scenario,phi,num_obs,run,d_run,n_reach,n_total,modo,periodic
Nc=Np,0.0,0,79,1.357177734375,4096,4096,por_presa,True
Nc=Np,0.0,0,80,1.352294921875,4096,4096,por_presa,True
Nc=Np,0.0,0,81,1.340087890625,4096,4096,por_presa,True
Nc=Np,0.0,0,82,1.33935546875,4096,4096,por_presa,True
Nc=Np,0.0,0,83,1.353515625,4096,4096,por_presa,True
Nc=Np,0.0,0,84,1.35400390625,4096,4096,por_presa,True
Nc=Np,0.0,0,85,1.335693359375,4096,4096,por_presa,True
Nc=Np,0.0,0,86,1.361083984375,4096,4096,por_presa,True
Nc=Np,0.0,0,87,1.369140625,4096,4096,por_presa,True
Nc=Np,0.0,0,88,1.352294921875,4096,4096,por_presa,True
Nc=Np,0.0,0,89,1.34375,4096,4096,por_presa,True
Nc=Np,0.0,0,90,1.34423828125,4096,4096,por_presa,True
Nc=Np,0.0,0,91,1.3486328125,4096,4096,por_presa,True
Nc=Np,0.0,0,92,1.357421875,4096,4096,por_presa,True
Nc=Np,0.0,0,93,1.36962890625,4096,4096,por_presa,True
Nc=Np,0.0,0,94,1.346923828125,4096,4096,por_presa,True
Nc=Np,0.0,0,95,1.367431640625,4096,4096,por_presa,True
Nc=Np,0.0,0,96,1.339111328125,4096,4096,por_presa,True
Nc=Np,0.0,0,97,1.330078125,4096,4096,por_presa,True
Nc=Np,0.0,0,98,1.344970703125,4096,4096,por_presa,True
Nc=Np,0.0,0,99,1.35986328125,4096,4096,por_presa,True
Nc=Np,0.0999755859375,1638,0,1.4088442756375474,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,1,1.4176390773405698,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,2,1.4272924579489963,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,3,1.4050461204557787,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,4,1.4268656716417911,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,5,1.4389582202930005,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,6,1.4412483039348711,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,7,1.427563754747694,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,8,1.4289202387411828,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,9,1.4185667752442996,3684,3686,por_presa,True
Nc=Np,0.0999755859375,1638,10,1.4272924579489963,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,11,1.4293080054274083,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,12,1.4244233378561737,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,13,1.4164405860010851,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,14,1.4232230059685296,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,15,1.4115092290988056,3684,3686,por_presa,True
Nc=Np,0.0999755859375,1638,16,1.4329896907216495,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,17,1.4419424850786762,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,18,1.406945198046663,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,19,1.4270211611502985,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,20,1.4102007596310364,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,21,1.3944082519001086,3684,3686,por_presa,True
Nc=Np,0.0999755859375,1638,22,1.4120998372219207,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,23,1.4074877916440587,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,24,1.4246947082767978,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,25,1.4215952251763428,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,26,1.4243081931633206,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,27,1.4270211611502985,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,28,1.435973955507325,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,29,1.4145415084102007,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,30,1.4036896364622897,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,31,1.4460119370591427,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,32,1.422680412371134,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,33,1.424966078697422,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,34,1.407216494845361,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,35,1.4462832338578404,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,36,1.4158979924036896,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,37,1.4241519674355496,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,38,1.4221378187737386,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,39,1.4240368963646228,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,40,1.4186109603906674,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,41,1.423765599565925,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,42,1.4091155724362452,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,43,1.4172544763971786,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,44,1.4257801899592943,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,45,1.4396200814111262,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,46,1.4276797829036636,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,47,1.4180683667932719,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,48,1.414270211611503,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,49,1.4320217096336498,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,50,1.421323928377645,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,51,1.4270211611502985,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,52,1.410743353228432,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,53,1.432447097124254,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,54,1.4245794899620186,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,55,1.4297341291372763,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,56,1.4189959294436907,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,57,1.4272924579489963,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,58,1.4336499321573948,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,59,1.4331071913161466,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,60,1.4158979924036896,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,61,1.4167118827997829,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,62,1.4302767227346718,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,63,1.4329896907216495,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,64,1.4158979924036896,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,65,1.4207813347802496,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,66,1.4343461747151383,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,67,1.4112859468258274,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,68,1.4306648575305292,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,69,1.4389582202930005,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,70,1.4362452523060227,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,71,1.4289202387411828,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,72,1.4271370420624152,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,73,1.4389582202930005,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,74,1.4110146500271297,3686,3686,por_presa,True
