run,steps,seed
411,1,982726644
408,2,982726641
404,4,982726637
407,3,982726640
410,3,982726643
412,1,982726645
402,6,982726635
403,6,982726636
415,2,982726648
413,3,982726646
409,6,982726642
417,4,982726650
419,3,982726652
418,4,982726651
416,5,982726649
423,2,982726656
421,4,982726654
422,4,982726655
381,21,982726614
414,9,982726647
429,1,982726662
426,3,982726659
424,5,982726657
427,3,982726660
399,15,982726632
430,2,982726663
428,4,982726661
425,6,982726658
389,22,982726622
438,1,982726671
431,3,982726664
420,11,982726653
432,5,982726665
441,2,982726674
437,4,982726670
435,7,982726668
444,3,982726677
443,4,982726676
440,5,982726673
436,6,982726669
447,1,982726680
448,1,982726681
451,2,982726684
446,3,982726679
433,9,982726666
434,11,982726667
450,3,982726683
442,6,982726675
452,3,982726685
454,1,982726687
445,7,982726678
453,3,982726686
456,1,982726689
439,10,982726672
449,5,982726682
462,1,982726695
459,2,982726692
455,3,982726688
463,3,982726696
458,4,982726691
308,64,982726541
466,3,982726699
465,4,982726698
457,6,982726690
460,5,982726693
474,1,982726707
475,1,982726708
472,2,982726705
471,3,982726704
470,5,982726703
468,7,982726701
473,5,982726706
478,3,982726711
464,9,982726697
476,5,982726709
469,8,982726702
480,3,982726713
485,1,982726718
479,4,982726712
481,3,982726714
489,1,982726722
490,1,982726723
487,3,982726720
483,4,982726716
488,3,982726721
477,8,982726710
467,12,982726700
493,2,982726726
495,1,982726728
494,2,982726727
486,6,982726719
484,6,982726717
499,1,982726732
492,4,982726725
498,2,982726731
502,1,982726735
461,15,982726694
504,2,982726737
500,4,982726733
507,2,982726740
497,5,982726730
482,10,982726715
491,9,982726724
496,7,982726729
508,3,982726741
510,2,982726743
501,6,982726734
505,5,982726738
509,3,982726742
506,6,982726739
503,7,982726736
519,2,982726752
515,4,982726748
520,3,982726753
512,7,982726745
516,6,982726749
513,7,982726746
517,6,982726750
518,6,982726751
522,5,982726755
523,4,982726756
529,1,982726762
530,1,982726763
525,4,982726758
526,3,982726759
511,10,982726744
528,3,982726761
527,3,982726760
533,1,982726766
537,1,982726770
531,2,982726764
534,2,982726767
532,2,982726765
521,8,982726754
535,3,982726768
540,2,982726773
514,10,982726747
538,3,982726771
536,4,982726769
524,9,982726757
543,3,982726776
541,4,982726774
539,6,982726772
548,3,982726781
553,1,982726786
545,5,982726778
547,4,982726780
551,3,982726784
555,1,982726788
542,8,982726775
552,5,982726785
549,7,982726782
560,4,982726793
554,6,982726787
544,11,982726777
564,1,982726797
562,3,982726795
559,6,982726792
550,9,982726783
563,3,982726796
566,1,982726799
568,1,982726801
567,1,982726800
556,8,982726789
570,1,982726803
571,1,982726804
558,7,982726791
576,2,982726809
573,3,982726806
578,2,982726811
577,3,982726810
572,4,982726805
580,1,982726813
561,9,982726794
569,5,982726802
582,1,982726815
565,7,982726798
579,3,982726812
581,4,982726814
584,3,982726817
587,2,982726820
583,4,982726816
586,3,982726819
557,14,982726790
588,3,982726821
574,9,982726807
575,10,982726808
589,5,982726822
593,3,982726826
594,3,982726827
585,8,982726818
598,4,982726831
595,6,982726828
591,6,982726824
599,1,982726832
604,1,982726837
596,5,982726829
601,5,982726834
592,6,982726825
607,1,982726840
602,6,982726835
590,11,982726823
605,2,982726838
614,1,982726847
603,6,982726836
613,2,982726846
600,8,982726833
609,1,982726842
616,1,982726849
611,5,982726844
610,6,982726843
606,5,982726839
620,1,982726853
617,2,982726850
618,2,982726851
619,2,982726852
608,5,982726841
623,1,982726856
621,2,982726854
612,6,982726845
629,1,982726862
631,1,982726864
615,6,982726848
624,4,982726857
628,3,982726861
632,1,982726865
630,3,982726863
635,1,982726868
625,5,982726858
636,2,982726869
634,3,982726867
622,6,982726855
633,4,982726866
638,3,982726871
627,7,982726860
637,4,982726870
640,3,982726873
639,4,982726872
597,26,982726830
648,1,982726881
647,2,982726880
643,4,982726876
645,3,982726878
649,3,982726882
646,5,982726879
641,7,982726874
546,48,982726779
642,8,982726875
653,4,982726886
654,4,982726887
650,6,982726883
656,2,982726889
658,1,982726891
651,6,982726884
661,1,982726894
657,3,982726890
626,14,982726859
668,1,982726901
655,6,982726888
669,1,982726902
659,4,982726892
665,3,982726898
672,1,982726905
667,4,982726900
660,6,982726893
663,6,982726896
666,5,982726899
652,10,982726885
678,1,982726911
677,2,982726910
644,16,982726877
662,8,982726895
671,5,982726904
670,7,982726903
664,9,982726897
673,6,982726906
675,5,982726908
680,3,982726913
683,2,982726916
679,5,982726912
684,2,982726917
682,3,982726915
676,6,982726909
689,1,982726922
691,1,982726924
693,1,982726926
695,1,982726928
692,2,982726925
681,5,982726914
696,1,982726929
685,5,982726918
686,4,982726919
698,1,982726931
