run,tempo,presas
47,0,800
47,1,757
47,2,723
47,3,695
47,4,675
47,5,640
47,6,613
47,7,592
47,8,577
47,9,549
47,10,527
47,11,508
47,12,487
47,13,467
47,14,449
47,15,431
47,16,413
47,17,393
47,18,373
47,19,359
47,20,348
47,21,333
47,22,320
47,23,300
47,24,289
47,25,282
47,26,267
47,27,253
47,28,245
47,29,234
47,30,225
47,31,214
47,32,208
47,33,199
47,34,194
47,35,185
47,36,176
47,37,168
47,38,160
47,39,152
47,40,142
47,41,136
47,42,132
47,43,128
47,44,123
47,45,120
47,46,116
47,47,106
47,48,96
47,49,91
47,50,87
47,51,81
47,52,75
47,53,74
47,54,72
47,55,68
47,56,66
47,57,64
47,58,61
47,59,58
47,60,57
47,61,55
47,62,54
47,63,51
47,64,48
47,65,43
47,66,41
47,67,39
47,68,36
47,69,32
47,70,30
47,71,30
47,72,29
47,73,28
47,74,25
47,75,24
47,76,21
47,77,20
47,78,20
47,79,18
47,80,18
47,81,18
47,82,18
47,83,16
47,84,16
47,85,15
47,86,14
47,87,14
47,88,14
47,89,14
47,90,13
47,91,12
47,92,12
47,93,12
47,94,12
47,95,12
47,96,12
47,97,12
47,98,12
47,99,10
47,100,9
47,101,9
47,102,8
47,103,8
47,104,8
47,105,7
47,106,7
47,107,7
47,108,7
47,109,7
47,110,7
47,111,7
47,112,7
47,113,7
47,114,7
47,115,6
47,116,6
47,117,5
47,118,4
47,119,4
47,120,4
47,121,4
47,122,3
47,123,3
47,124,3
47,125,2
47,126,2
47,127,2
47,128,2
47,129,2
47,130,2
47,131,1
47,132,1
47,133,1
47,134,1
47,135,1
47,136,1
47,137,1
47,138,1
47,139,1
47,140,1
47,141,1
47,142,1
47,143,1
47,144,1
47,145,1
47,146,1
47,147,1
47,148,1
47,149,1
47,150,1
47,151,1
47,152,1
47,153,1
47,154,1
47,155,1
47,156,1
47,157,1
47,158,1
47,159,1
47,160,1
47,161,1
47,162,1
47,163,1
47,164,1
47,165,1
47,166,1
47,167,1
47,168,1
47,169,1
47,170,1
47,171,1
47,172,1
47,173,1
47,174,1
47,175,1
47,176,1
47,177,1
47,178,1
47,179,1
47,180,1
47,181,1
47,182,1
47,183,1
47,184,1
47,185,1
47,186,1
47,187,1
47,188,1
47,189,1
47,190,1
47,191,1
47,192,1
47,193,1
