run,steps,seed
1,3,40717851
3,3,40717853
5,3,40717855
7,2,40717857
2,8,40717852
6,6,40717856
8,5,40717858
4,9,40717854
9,8,40717859
12,4,40717862
10,7,40717860
11,7,40717861
14,2,40717864
15,3,40717865
13,4,40717863
16,3,40717866
17,1,40717867
18,2,40717868
20,6,40717870
22,3,40717872
19,5,40717869
23,2,40717873
21,6,40717871
27,1,40717877
26,3,40717876
25,3,40717875
28,1,40717878
29,2,40717879
30,1,40717880
31,4,40717881
32,4,40717882
34,3,40717884
36,4,40717886
35,10,40717885
33,13,40717883
38,4,40717888
24,16,40717874
41,2,40717891
37,10,40717887
42,5,40717892
44,2,40717894
43,3,40717893
45,5,40717895
40,15,40717890
47,3,40717897
39,17,40717889
46,8,40717896
50,2,40717900
48,5,40717898
51,1,40717901
54,1,40717904
53,3,40717903
52,6,40717902
55,2,40717905
56,2,40717906
49,7,40717899
57,2,40717907
58,3,40717908
61,4,40717911
62,2,40717912
64,1,40717914
59,7,40717909
63,2,40717913
60,7,40717910
65,1,40717915
67,2,40717917
68,4,40717918
70,3,40717920
66,8,40717916
71,3,40717921
69,7,40717919
74,1,40717924
73,3,40717923
72,8,40717922
77,1,40717927
75,4,40717925
76,4,40717926
78,1,40717928
79,5,40717929
80,4,40717930
81,6,40717931
82,6,40717932
84,3,40717934
87,1,40717937
86,4,40717936
85,5,40717935
89,1,40717939
88,3,40717938
83,8,40717933
91,1,40717941
90,3,40717940
92,3,40717942
96,3,40717946
95,5,40717945
94,6,40717944
97,1,40717947
93,7,40717943
98,3,40717948
100,4,40717950
99,4,40717949
102,2,40717952
103,1,40717953
101,4,40717951
104,2,40717954
105,2,40717955
109,1,40717959
108,3,40717958
106,3,40717956
110,3,40717960
111,4,40717961
113,3,40717963
112,7,40717962
116,1,40717966
114,4,40717964
117,4,40717967
115,4,40717965
118,5,40717968
120,1,40717970
107,18,40717957
119,3,40717969
123,3,40717973
121,5,40717971
122,6,40717972
125,2,40717975
128,1,40717978
126,5,40717976
129,2,40717979
124,8,40717974
130,2,40717980
127,7,40717977
133,2,40717983
132,4,40717982
131,8,40717981
136,2,40717986
137,1,40717987
135,3,40717985
138,2,40717988
140,1,40717990
142,1,40717992
141,2,40717991
139,6,40717989
145,1,40717995
144,4,40717994
143,6,40717993
147,5,40717997
149,1,40717999
146,8,40717996
150,3,40718000
151,3,40718001
153,1,40718003
152,4,40718002
154,5,40718004
155,2,40718005
157,1,40718007
134,35,40717984
156,11,40718006
160,1,40718010
158,12,40718008
161,5,40718011
162,2,40718012
163,2,40718013
148,31,40717998
166,3,40718016
165,5,40718015
167,4,40718017
159,24,40718009
169,1,40718019
168,3,40718018
172,1,40718022
171,2,40718021
170,4,40718020
173,4,40718023
175,4,40718025
176,7,40718026
178,4,40718028
177,6,40718027
174,11,40718024
180,2,40718030
182,1,40718032
181,2,40718031
179,4,40718029
185,1,40718035
183,2,40718033
