run,steps,escapers,seed
10,123.977,0,3037595162
1,124.538,0,3037595153
12,122.653,0,3037595164
3,126.417,0,3037595155
6,139.339,0,3037595158
4,159.072,0,3037595156
8,161.721,0,3037595160
11,190.105,0,3037595163
2,196.4,0,3037595154
7,201.338,0,3037595159
5,219.392,0,3037595157
9,257.608,0,3037595161
13,144.026,0,3037595165
17,129.563,0,3037595169
19,121.939,0,3037595171
15,144.073,0,3037595167
18,129.774,0,3037595170
20,121.779,0,3037595172
14,217.085,0,3037595166
16,210.118,0,3037595168
22,141.671,0,3037595174
24,127.615,0,3037595176
21,195.833,0,3037595173
23,172.49,0,3037595175
25,119.181,0,3037595177
27,142.73,0,3037595179
29,143.324,0,3037595181
26,176.003,0,3037595178
28,205.878,0,3037595180
30,182.917,0,3037595182
32,142.398,0,3037595184
31,191.935,0,3037595183
34,161.932,0,3037595186
33,199.319,0,3037595185
37,125.373,0,3037595189
36,193.352,0,3037595188
35,207.828,0,3037595187
39,125.55,0,3037595191
38,155.3,0,3037595190
41,147.415,0,3037595193
40,183.121,0,3037595192
42,166.814,0,3037595194
43,168.8,0,3037595195
45,135.513,0,3037595197
44,163.301,0,3037595196
48,146.963,0,3037595200
49,137.145,0,3037595201
47,193.991,0,3037595199
50,135.432,0,3037595202
46,209.295,0,3037595198
51,149.161,0,3037595203
52,129.827,0,3037595204
53,143.351,0,3037595205
54,152.881,0,3037595206
57,122.824,0,3037595209
55,151.668,0,3037595207
60,118.777,0,3037595212
56,190.329,0,3037595208
62,131.917,0,3037595214
58,165.765,0,3037595210
63,137.779,0,3037595215
61,170.991,0,3037595213
59,201.652,0,3037595211
67,113.408,0,3037595219
64,190.772,0,3037595216
68,143.227,0,3037595220
69,114.925,0,3037595221
65,229.069,0,3037595217
66,218.393,0,3037595218
72,129.353,0,3037595224
70,179.72,0,3037595222
74,122.265,0,3037595226
73,137.011,0,3037595225
71,175.627,0,3037595223
76,110.983,0,3037595228
77,113.787,0,3037595229
75,195.294,0,3037595227
78,138.392,0,3037595230
81,130.743,0,3037595233
79,192.912,0,3037595231
80,172.603,0,3037595232
83,135.024,0,3037595235
82,151.016,0,3037595234
85,146.197,0,3037595237
84,155.896,0,3037595236
86,164.291,0,3037595238
88,120.915,0,3037595240
87,185.338,0,3037595239
89,136.175,0,3037595241
90,119.167,0,3037595242
91,129.005,0,3037595243
92,168.524,0,3037595244
94,150.503,0,3037595246
93,143.011,0,3037595245
96,129.203,0,3037595248
95,177.105,0,3037595247
97,146.039,0,3037595249
99,163.058,0,3037595251
98,155.697,0,3037595250
100,176.521,0,3037595252
