run,tempo,presas
31,0,800
31,1,770
31,2,738
31,3,706
31,4,677
31,5,640
31,6,612
31,7,593
31,8,568
31,9,550
31,10,529
31,11,504
31,12,487
31,13,465
31,14,439
31,15,414
31,16,396
31,17,376
31,18,360
31,19,344
31,20,328
31,21,310
31,22,290
31,23,273
31,24,253
31,25,245
31,26,236
31,27,226
31,28,215
31,29,205
31,30,196
31,31,185
31,32,174
31,33,165
31,34,159
31,35,152
31,36,148
31,37,140
31,38,131
31,39,127
31,40,123
31,41,120
31,42,115
31,43,110
31,44,102
31,45,98
31,46,91
31,47,87
31,48,82
31,49,78
31,50,74
31,51,69
31,52,64
31,53,61
31,54,59
31,55,54
31,56,53
31,57,50
31,58,48
31,59,43
31,60,40
31,61,38
31,62,36
31,63,36
31,64,35
31,65,35
31,66,35
31,67,31
31,68,29
31,69,27
31,70,24
31,71,23
31,72,21
31,73,21
31,74,20
31,75,19
31,76,18
31,77,17
31,78,15
31,79,14
31,80,14
31,81,13
31,82,12
31,83,12
31,84,11
31,85,11
31,86,11
31,87,11
31,88,10
31,89,10
31,90,9
31,91,9
31,92,7
31,93,6
31,94,6
31,95,6
31,96,6
31,97,6
31,98,6
31,99,6
31,100,5
31,101,5
31,102,5
31,103,5
31,104,5
31,105,5
31,106,4
31,107,4
31,108,4
31,109,3
31,110,3
31,111,3
31,112,3
31,113,3
31,114,3
31,115,3
31,116,3
31,117,2
31,118,2
31,119,2
31,120,2
31,121,2
31,122,2
31,123,2
31,124,2
31,125,2
31,126,2
31,127,2
31,128,2
31,129,2
31,130,2
31,131,2
31,132,2
31,133,2
31,134,2
31,135,2
31,136,1
31,137,1
31,138,1
31,139,1
31,140,1
31,141,1
31,142,1
31,143,1
31,144,1
31,145,1
31,146,1
31,147,1
31,148,1
31,149,1
31,150,1
31,151,1
31,152,1
31,153,1
31,154,1
31,155,1
31,156,1
31,157,1
31,158,1
31,159,1
31,160,1
31,161,1
31,162,1
31,163,1
31,164,1
31,165,1
31,166,1
31,167,1
31,168,1
31,169,1
31,170,1
31,171,1
31,172,1
31,173,1
31,174,1
31,175,1
31,176,1
31,177,1
31,178,1
31,179,1
31,180,1
31,181,1
31,182,1
31,183,1
31,184,1
31,185,1
31,186,1
31,187,1
31,188,1
31,189,1
31,190,1
31,191,1
