run,steps,escapers,seed
3,1,10,3916175648
7,1,10,3916175652
6,1,10,3916175651
1,1,10,3916175646
8,1,10,3916175653
4,1,10,3916175649
2,1,10,3916175647
11,1,10,3916175656
5,1,10,3916175650
9,1,10,3916175654
10,1,10,3916175655
12,1,10,3916175657
13,1,10,3916175658
18,1,10,3916175663
20,1,10,3916175665
19,1,10,3916175664
16,1,10,3916175661
15,1,10,3916175660
17,1,10,3916175662
14,1,10,3916175659
21,1,10,3916175666
22,1,10,3916175667
23,1,10,3916175668
24,1,10,3916175669
25,1,10,3916175670
26,1,10,3916175671
27,1,10,3916175672
28,1,10,3916175673
29,1,10,3916175674
31,1,10,3916175676
33,1,10,3916175678
34,1,10,3916175679
30,1,10,3916175675
32,1,10,3916175677
35,1,10,3916175680
36,1,10,3916175681
37,1,10,3916175682
43,1,10,3916175688
38,1,10,3916175683
41,1,10,3916175686
42,1,10,3916175687
39,1,10,3916175684
47,1,10,3916175692
40,1,10,3916175685
48,1,10,3916175693
46,1,10,3916175691
45,1,10,3916175690
49,1,10,3916175694
51,1,10,3916175696
50,1,10,3916175695
52,1,10,3916175697
53,1,10,3916175698
54,1,10,3916175699
56,1,10,3916175701
57,1,10,3916175702
55,1,10,3916175700
58,1,10,3916175703
59,1,10,3916175704
60,1,10,3916175705
61,1,10,3916175706
63,1,10,3916175708
62,1,10,3916175707
64,1,10,3916175709
65,1,10,3916175710
66,1,10,3916175711
67,1,10,3916175712
69,1,10,3916175714
68,1,10,3916175713
70,1,10,3916175715
44,1,10,3916175689
71,1,10,3916175716
72,1,10,3916175717
73,1,10,3916175718
74,1,10,3916175719
75,1,10,3916175720
76,1,10,3916175721
77,1,10,3916175722
78,1,10,3916175723
79,1,10,3916175724
80,1,10,3916175725
81,1,10,3916175726
82,1,10,3916175727
83,1,10,3916175728
84,1,10,3916175729
85,1,10,3916175730
86,1,10,3916175731
87,1,10,3916175732
88,1,10,3916175733
89,1,10,3916175734
90,1,10,3916175735
91,1,10,3916175736
92,1,10,3916175737
93,1,10,3916175738
94,1,10,3916175739
95,1,10,3916175740
96,1,10,3916175741
97,1,10,3916175742
98,1,10,3916175743
99,1,10,3916175744
100,1,10,3916175745
101,1,10,3916175746
102,1,10,3916175747
103,1,10,3916175748
104,1,10,3916175749
105,1,10,3916175750
106,1,10,3916175751
107,1,10,3916175752
109,1,10,3916175754
108,1,10,3916175753
111,1,10,3916175756
110,1,10,3916175755
112,1,10,3916175757
113,1,10,3916175758
114,1,10,3916175759
115,1,10,3916175760
116,1,10,3916175761
117,1,10,3916175762
118,1,10,3916175763
121,1,10,3916175766
119,1,10,3916175764
120,1,10,3916175765
122,1,10,3916175767
123,1,10,3916175768
124,1,10,3916175769
125,1,10,3916175770
126,1,10,3916175771
127,1,10,3916175772
128,1,10,3916175773
129,1,10,3916175774
130,1,10,3916175775
131,1,10,3916175776
132,1,10,3916175777
133,1,10,3916175778
134,1,10,3916175779
135,1,10,3916175780
136,1,10,3916175781
137,1,10,3916175782
138,1,10,3916175783
139,1,10,3916175784
140,1,10,3916175785
141,1,10,3916175786
142,1,10,3916175787
143,1,10,3916175788
144,1,10,3916175789
147,1,10,3916175792
148,1,10,3916175793
146,1,10,3916175791
145,1,10,3916175790
149,1,10,3916175794
150,1,10,3916175795
151,1,10,3916175796
152,1,10,3916175797
153,1,10,3916175798
154,1,10,3916175799
155,1,10,3916175800
156,1,10,3916175801
157,1,10,3916175802
158,1,10,3916175803
160,1,10,3916175805
159,1,10,3916175804
161,1,10,3916175806
162,1,10,3916175807
163,1,10,3916175808
164,1,10,3916175809
165,1,10,3916175810
166,1,10,3916175811
167,1,10,3916175812
168,1,10,3916175813
169,1,10,3916175814
170,1,10,3916175815
172,1,10,3916175817
171,1,10,3916175816
173,1,10,3916175818
174,1,10,3916175819
175,1,10,3916175820
176,1,10,3916175821
177,1,10,3916175822
178,1,10,3916175823
179,1,10,3916175824
180,1,10,3916175825
181,1,10,3916175826
182,1,10,3916175827
183,1,10,3916175828
184,1,10,3916175829
185,1,10,3916175830
186,1,10,3916175831
187,1,10,3916175832
188,1,10,3916175833
189,1,10,3916175834
190,1,10,3916175835
191,1,10,3916175836
192,1,10,3916175837
193,1,10,3916175838
194,1,10,3916175839
195,1,10,3916175840
196,1,10,3916175841
197,1,10,3916175842
198,1,10,3916175843
199,1,10,3916175844
200,1,10,3916175845
201,1,10,3916175846
202,1,10,3916175847
203,1,10,3916175848
204,1,10,3916175849
205,1,10,3916175850
206,1,10,3916175851
207,1,10,3916175852
208,1,10,3916175853
209,1,10,3916175854
210,1,10,3916175855
211,1,10,3916175856
212,1,10,3916175857
213,1,10,3916175858
214,1,10,3916175859
215,1,10,3916175860
216,1,10,3916175861
217,1,10,3916175862
218,1,10,3916175863
219,1,10,3916175864
220,1,10,3916175865
221,1,10,3916175866
222,1,10,3916175867
223,1,10,3916175868
224,1,10,3916175869
225,1,10,3916175870
226,1,10,3916175871
227,1,10,3916175872
228,1,10,3916175873
229,1,10,3916175874
230,1,10,3916175875
231,1,10,3916175876
232,1,10,3916175877
233,1,10,3916175878
234,1,10,3916175879
235,1,10,3916175880
236,1,10,3916175881
237,1,10,3916175882
238,1,10,3916175883
239,1,10,3916175884
240,1,10,3916175885
241,1,10,3916175886
242,1,10,3916175887
243,1,10,3916175888
244,1,10,3916175889
245,1,10,3916175890
246,1,10,3916175891
247,1,10,3916175892
248,1,10,3916175893
249,1,10,3916175894
250,1,10,3916175895
251,1,10,3916175896
252,1,10,3916175897
253,1,10,3916175898
254,1,10,3916175899
255,1,10,3916175900
256,1,10,3916175901
257,1,10,3916175902
258,1,10,3916175903
260,1,10,3916175905
261,1,10,3916175906
262,1,10,3916175907
259,1,10,3916175904
263,1,10,3916175908
264,1,10,3916175909
265,1,10,3916175910
266,1,10,3916175911
267,1,10,3916175912
268,1,10,3916175913
269,1,10,3916175914
270,1,10,3916175915
271,1,10,3916175916
272,1,10,3916175917
273,1,10,3916175918
274,1,10,3916175919
275,1,10,3916175920
276,1,10,3916175921
277,1,10,3916175922
278,1,10,3916175923
279,1,10,3916175924
280,1,10,3916175925
281,1,10,3916175926
282,1,10,3916175927
283,1,10,3916175928
284,1,10,3916175929
285,1,10,3916175930
286,1,10,3916175931
287,1,10,3916175932
288,1,10,3916175933
289,1,10,3916175934
290,1,10,3916175935
291,1,10,3916175936
292,1,10,3916175937
293,1,10,3916175938
294,1,10,3916175939
295,1,10,3916175940
296,1,10,3916175941
297,1,10,3916175942
298,1,10,3916175943
299,1,10,3916175944
300,1,10,3916175945
301,1,10,3916175946
302,1,10,3916175947
303,1,10,3916175948
304,1,10,3916175949
305,1,10,3916175950
306,1,10,3916175951
307,1,10,3916175952
308,1,10,3916175953
309,1,10,3916175954
310,1,10,3916175955
311,1,10,3916175956
312,1,10,3916175957
313,1,10,3916175958
314,1,10,3916175959
315,1,10,3916175960
316,1,10,3916175961
317,1,10,3916175962
318,1,10,3916175963
319,1,10,3916175964
320,1,10,3916175965
321,1,10,3916175966
322,1,10,3916175967
324,1,10,3916175969
325,1,10,3916175970
326,1,10,3916175971
327,1,10,3916175972
328,1,10,3916175973
329,1,10,3916175974
330,1,10,3916175975
323,1,10,3916175968
331,1,10,3916175976
333,1,10,3916175978
332,1,10,3916175977
334,1,10,3916175979
336,1,10,3916175981
335,1,10,3916175980
339,1,10,3916175984
341,1,10,3916175986
340,1,10,3916175985
343,1,10,3916175988
337,1,10,3916175982
338,1,10,3916175983
344,1,10,3916175989
345,1,10,3916175990
347,1,10,3916175992
346,1,10,3916175991
348,1,10,3916175993
349,1,10,3916175994
350,1,10,3916175995
351,1,10,3916175996
353,1,10,3916175998
352,1,10,3916175997
354,1,10,3916175999
355,1,10,3916176000
356,1,10,3916176001
357,1,10,3916176002
358,1,10,3916176003
360,1,10,3916176005
361,1,10,3916176006
359,1,10,3916176004
362,1,10,3916176007
363,1,10,3916176008
364,1,10,3916176009
365,1,10,3916176010
366,1,10,3916176011
367,1,10,3916176012
368,1,10,3916176013
369,1,10,3916176014
371,1,10,3916176016
370,1,10,3916176015
372,1,10,3916176017
373,1,10,3916176018
374,1,10,3916176019
375,1,10,3916176020
376,1,10,3916176021
377,1,10,3916176022
378,1,10,3916176023
380,1,10,3916176025
379,1,10,3916176024
382,1,10,3916176027
381,1,10,3916176026
383,1,10,3916176028
384,1,10,3916176029
386,1,10,3916176031
342,1,10,3916175987
387,1,10,3916176032
388,1,10,3916176033
389,1,10,3916176034
385,1,10,3916176030
392,1,10,3916176037
390,1,10,3916176035
393,1,10,3916176038
394,1,10,3916176039
395,1,10,3916176040
396,1,10,3916176041
391,1,10,3916176036
397,1,10,3916176042
398,1,10,3916176043
399,1,10,3916176044
400,1,10,3916176045
401,1,10,3916176046
402,1,10,3916176047
403,1,10,3916176048
404,1,10,3916176049
405,1,10,3916176050
406,1,10,3916176051
407,1,10,3916176052
408,1,10,3916176053
409,1,10,3916176054
410,1,10,3916176055
411,1,10,3916176056
412,1,10,3916176057
413,1,10,3916176058
414,1,10,3916176059
415,1,10,3916176060
417,1,10,3916176062
418,1,10,3916176063
419,1,10,3916176064
420,1,10,3916176065
416,1,10,3916176061
422,1,10,3916176067
421,1,10,3916176066
423,1,10,3916176068
424,1,10,3916176069
425,1,10,3916176070
427,1,10,3916176072
426,1,10,3916176071
428,1,10,3916176073
429,1,10,3916176074
430,1,10,3916176075
431,1,10,3916176076
432,1,10,3916176077
433,1,10,3916176078
434,1,10,3916176079
435,1,10,3916176080
436,1,10,3916176081
437,1,10,3916176082
438,1,10,3916176083
439,1,10,3916176084
441,1,10,3916176086
442,1,10,3916176087
440,1,10,3916176085
443,1,10,3916176088
444,1,10,3916176089
445,1,10,3916176090
446,1,10,3916176091
447,1,10,3916176092
448,1,10,3916176093
449,1,10,3916176094
451,1,10,3916176096
450,1,10,3916176095
452,1,10,3916176097
