run,tempo,presas
60,0,800
60,1,771
60,2,740
60,3,708
60,4,684
60,5,657
60,6,635
60,7,615
60,8,589
60,9,565
60,10,532
60,11,504
60,12,482
60,13,457
60,14,434
60,15,415
60,16,393
60,17,381
60,18,371
60,19,351
60,20,325
60,21,310
60,22,296
60,23,285
60,24,278
60,25,264
60,26,259
60,27,247
60,28,238
60,29,228
60,30,222
60,31,218
60,32,211
60,33,203
60,34,195
60,35,188
60,36,185
60,37,175
60,38,163
60,39,152
60,40,142
60,41,135
60,42,129
60,43,121
60,44,119
60,45,112
60,46,104
60,47,103
60,48,101
60,49,96
60,50,90
60,51,85
60,52,84
60,53,79
60,54,71
60,55,69
60,56,68
60,57,65
60,58,65
60,59,61
60,60,59
60,61,55
60,62,53
60,63,53
60,64,52
60,65,49
60,66,44
60,67,39
60,68,37
60,69,36
60,70,33
60,71,32
60,72,31
60,73,30
60,74,28
60,75,26
60,76,25
60,77,25
60,78,25
60,79,25
60,80,24
60,81,20
60,82,19
60,83,18
60,84,18
60,85,17
60,86,16
60,87,16
60,88,13
60,89,13
60,90,12
60,91,10
60,92,9
60,93,8
60,94,8
60,95,7
60,96,7
60,97,7
60,98,6
60,99,6
60,100,4
60,101,4
60,102,3
60,103,3
60,104,3
60,105,3
60,106,3
60,107,3
60,108,3
60,109,3
60,110,3
60,111,3
60,112,3
60,113,3
60,114,3
60,115,2
60,116,2
60,117,2
60,118,2
60,119,2
60,120,2
60,121,2
60,122,2
60,123,2
60,124,2
60,125,2
60,126,2
60,127,2
60,128,2
60,129,2
60,130,2
60,131,2
60,132,2
60,133,2
60,134,2
60,135,2
60,136,2
60,137,2
60,138,2
60,139,2
60,140,2
60,141,2
60,142,2
60,143,2
60,144,2
60,145,2
60,146,2
60,147,2
60,148,2
60,149,2
60,150,2
60,151,2
60,152,2
60,153,2
60,154,2
60,155,2
60,156,1
60,157,1
60,158,1
60,159,1
60,160,1
60,161,1
60,162,1
60,163,1
60,164,1
60,165,1
