run,steps,seed
6,1,987526239
4,2,987526237
3,2,987526236
11,2,987526244
2,4,987526235
15,2,987526248
8,4,987526241
12,6,987526245
1,7,987526234
16,4,987526249
13,6,987526246
14,5,987526247
9,8,987526242
10,8,987526243
19,4,987526252
25,1,987526258
7,8,987526240
18,6,987526251
24,3,987526257
27,2,987526260
5,12,987526238
20,5,987526253
29,3,987526262
22,6,987526255
21,7,987526254
26,4,987526259
35,1,987526268
34,2,987526267
30,4,987526263
37,1,987526270
33,4,987526266
40,1,987526273
31,5,987526264
45,1,987526278
42,3,987526275
39,3,987526272
17,14,987526250
32,7,987526265
28,10,987526261
46,2,987526279
44,4,987526277
38,7,987526271
48,2,987526281
23,14,987526256
36,7,987526269
41,6,987526274
43,7,987526276
47,5,987526280
54,3,987526287
49,6,987526282
50,4,987526283
56,5,987526289
59,3,987526292
62,1,987526295
57,3,987526290
53,6,987526286
64,1,987526297
65,1,987526298
67,1,987526300
60,4,987526293
52,8,987526285
51,8,987526284
58,4,987526291
55,7,987526288
74,2,987526307
61,6,987526294
69,4,987526302
66,6,987526299
63,8,987526296
68,5,987526301
75,4,987526308
76,4,987526309
72,5,987526305
78,3,987526311
80,2,987526313
73,6,987526306
81,2,987526314
79,4,987526312
84,2,987526317
77,6,987526310
87,2,987526320
82,5,987526315
70,9,987526303
71,9,987526304
91,3,987526324
92,2,987526325
89,6,987526322
83,8,987526316
90,5,987526323
86,8,987526319
97,3,987526330
85,8,987526318
93,5,987526326
88,8,987526321
96,4,987526329
95,3,987526328
108,1,987526341
101,4,987526334
99,5,987526332
104,4,987526337
94,9,987526327
103,5,987526336
106,4,987526339
100,6,987526333
110,1,987526343
112,1,987526345
116,1,987526349
98,8,987526331
113,2,987526346
109,5,987526342
102,8,987526335
105,6,987526338
111,3,987526344
120,1,987526353
117,2,987526350
114,5,987526347
119,2,987526352
124,1,987526357
125,1,987526358
121,2,987526354
127,1,987526360
115,5,987526348
107,9,987526340
128,2,987526361
126,3,987526359
135,2,987526368
123,5,987526356
134,2,987526367
118,6,987526351
133,3,987526366
129,4,987526362
131,4,987526364
139,1,987526372
141,1,987526374
138,2,987526371
122,6,987526355
130,4,987526363
144,1,987526377
140,3,987526373
147,1,987526380
137,5,987526370
143,4,987526376
146,4,987526379
132,7,987526365
145,4,987526378
148,4,987526381
149,5,987526382
150,6,987526383
159,1,987526392
136,9,987526369
142,9,987526375
160,1,987526393
152,6,987526385
158,4,987526391
154,7,987526387
161,2,987526394
151,8,987526384
156,7,987526389
165,2,987526398
164,2,987526397
168,1,987526401
162,5,987526395
157,8,987526390
167,3,987526400
163,4,987526396
170,3,987526403
153,11,987526386
177,1,987526410
166,5,987526399
171,3,987526404
174,2,987526407
179,1,987526412
172,4,987526405
183,1,987526416
169,8,987526402
173,6,987526406
182,4,987526415
185,3,987526418
187,1,987526420
178,6,987526411
175,6,987526408
180,5,987526413
181,4,987526414
193,2,987526426
176,9,987526409
188,4,987526421
190,3,987526423
191,3,987526424
186,8,987526419
197,2,987526430
196,2,987526429
194,5,987526427
189,6,987526422
201,1,987526434
200,4,987526433
199,5,987526432
203,3,987526436
204,3,987526437
198,5,987526431
205,3,987526438
184,15,987526417
206,6,987526439
207,4,987526440
192,12,987526425
211,3,987526444
202,9,987526435
210,5,987526443
209,4,987526442
212,5,987526445
216,2,987526449
213,6,987526446
217,2,987526450
218,2,987526451
214,5,987526447
223,1,987526456
208,9,987526441
221,4,987526454
225,2,987526458
219,5,987526452
227,2,987526460
222,6,987526455
195,20,987526428
229,3,987526462
224,4,987526457
230,2,987526463
231,2,987526464
215,11,987526448
232,2,987526465
155,41,987526388
234,1,987526467
235,2,987526468
220,9,987526453
233,2,987526466
236,3,987526469
228,7,987526461
247,1,987526480
243,3,987526476
238,5,987526471
240,5,987526473
241,4,987526474
237,6,987526470
242,4,987526475
244,4,987526477
226,12,987526459
253,1,987526486
239,6,987526472
251,1,987526484
246,5,987526479
248,2,987526481
245,6,987526478
254,3,987526487
258,2,987526491
261,2,987526494
249,4,987526482
262,2,987526495
250,6,987526483
266,1,987526499
257,3,987526490
255,5,987526488
265,2,987526498
260,5,987526493
252,6,987526485
259,5,987526492
256,6,987526489
267,1,987526500
268,1,987526501
263,4,987526496
273,1,987526506
274,1,987526507
278,1,987526511
270,3,987526503
271,3,987526504
280,2,987526513
281,2,987526514
276,4,987526509
285,1,987526518
275,5,987526508
269,6,987526502
288,1,987526521
282,4,987526515
264,8,987526497
277,6,987526510
290,2,987526523
292,1,987526525
287,4,987526520
291,2,987526524
289,3,987526522
286,5,987526519
272,10,987526505
279,9,987526512
295,2,987526528
293,4,987526526
284,8,987526517
283,9,987526516
297,4,987526530
294,5,987526527
299,4,987526532
302,3,987526535
306,2,987526539
308,1,987526541
304,3,987526537
305,3,987526538
300,6,987526533
303,4,987526536
310,2,987526543
301,6,987526534
311,2,987526544
296,8,987526529
313,2,987526546
318,1,987526551
312,4,987526545
319,1,987526552
322,1,987526555
315,4,987526548
324,1,987526557
317,3,987526550
320,2,987526553
298,10,987526531
307,8,987526540
314,6,987526547
326,3,987526559
331,1,987526564
329,3,987526562
309,10,987526542
330,4,987526563
327,4,987526560
325,4,987526558
328,5,987526561
334,2,987526567
338,1,987526571
323,7,987526556
339,1,987526572
336,2,987526569
316,11,987526549
321,9,987526554
333,4,987526566
332,5,987526565
344,1,987526577
342,2,987526575
349,1,987526582
341,4,987526574
337,5,987526570
335,6,987526568
350,2,987526583
348,4,987526581
340,7,987526573
353,2,987526586
346,5,987526579
351,3,987526584
356,1,987526589
355,2,987526588
343,6,987526576
363,1,987526596
359,2,987526592
357,3,987526590
364,2,987526597
358,3,987526591
352,5,987526585
354,6,987526587
361,4,987526594
345,8,987526578
366,2,987526599
362,5,987526595
373,1,987526606
360,6,987526593
347,11,987526580
369,4,987526602
371,3,987526604
367,5,987526600
378,1,987526611
368,6,987526601
374,4,987526607
376,4,987526609
375,4,987526608
382,2,987526615
377,4,987526610
383,2,987526616
381,3,987526614
384,2,987526617
386,2,987526619
385,2,987526618
388,2,987526621
389,2,987526622
370,8,987526603
372,7,987526605
